,perum,detail
0,"<p class=""venue-front-title"">Kehakiman</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kehakiman</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.4mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">Kejaksaan Agung</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kejaksaan Agung</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,6mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">Kejaksaan Agung</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kejaksaan Agung</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Pusat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">Kejaksaan Agung Suad</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kejaksaan Agung Suad</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">Kejaksaan Joglo</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kejaksaan Joglo</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">Kelapa Asri Townhouse</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kelapa Asri Townhouse</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">kelapa cengkir timur</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">kelapa cengkir timur</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,99mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">Kelapa gading bangun cipta sarana</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kelapa gading bangun cipta sarana</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">Kelapa Gading Jakarta Utara</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kelapa Gading Jakarta Utara</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.5,3mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">Kelapa Gading Permai</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kelapa Gading Permai</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,75mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.95jt<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">Kelapa Gading Pratama</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kelapa Gading Pratama</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.2,29mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">Kelapa Hijau Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kelapa Hijau Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">Kelapa Hijau Residence 2</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kelapa Hijau Residence 2</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">Kelapa Kopyor</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kelapa Kopyor</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,55mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.65jt<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">Kelapa Muda Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kelapa Muda Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">Kelinci Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kelinci Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">Kemandoran Townhouse</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kemandoran Townhouse</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">Kemang Barat</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kemang Barat</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.9mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">Kemang Club Villas</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kemang Club Villas</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">Kemang Colony Town House</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kemang Colony Town House</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.4,6mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">Kemang Compound</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kemang Compound</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">Kemang Dalam</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kemang Dalam</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.540jt<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.320jt<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">Kemang Hills Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kemang Hills Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.240jt<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">Kemang House</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kemang House</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">Kemang Kolonie</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kemang Kolonie</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.4,4mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">Kemang Luxury Living</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kemang Luxury Living</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">Kemang Melati Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kemang Melati Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">Kemang Seka Town House</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kemang Seka Town House</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
4,"<p class=""venue-front-title"">Kemang Six Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kemang Six Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,1mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
5,"<p class=""venue-front-title"">kemang swatama</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">kemang swatama</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Timur, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
6,"<p class=""venue-front-title"">Kemang Townhouse</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kemang Townhouse</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.3,5mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.360jt<br/>
</p>
</div>"
7,"<p class=""venue-front-title"">Kemang Utara</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kemang Utara</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.23mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.554jt<br/>
</p>
</div>"
8,"<p class=""venue-front-title"">Kemang Village Cipete</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kemang Village Cipete</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,9mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.240jt<br/>
</p>
</div>"
9,"<p class=""venue-front-title"">Kembangan Baru</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kembangan Baru</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.1,6mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
10,"<p class=""venue-front-title"">Kenanga Residence</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kenanga Residence</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.11,9mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
11,"<p class=""venue-front-title"">Kenari Golf</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kenari Golf</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.4,3mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.80jt<br/>
</p>
</div>"
0,"<p class=""venue-front-title"">Kenari Hijau</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kenari Hijau</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Utara, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
1,"<p class=""venue-front-title"">Kencana 19 Townhouse</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kencana 19 Townhouse</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
2,"<p class=""venue-front-title"">Kencana Permai</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kencana Permai</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Selatan, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai Rp.14,5mily<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai Rp.480jt<br/>
</p>
</div>"
3,"<p class=""venue-front-title"">Kencana Raya</p>","<div class=""content_show_detail"">
<p class=""venue-front-title"">Kencana Raya</p>
<p>
<span class=""fa fa-map-marker""></span>
                            Jakarta Barat, Jakarta                        <br/>
<span class=""fa fa-arrow-up""></span> Jual mulai N/A<br/>
<span class=""fa fa-arrow-up""></span> Sewa mulai N/A<br/>
</p>
</div>"
