,region,price,details
252,"Penjaringan, Jakarta Utara",Rp 6.000.000.000,4 KT - 4 KM - 300 m2
253,"Tanjung Priok, Jakarta Utara",Rp 3.000.000.000,2 KT - 2 KM - 84 m2
254,"Tanjung Priok, Jakarta Utara",Rp 3.600.000.000,4 KT - 4 KM - 270 m2
255,"Kemayoran, Jakarta Pusat",Rp 1.120.000.000,3 KT - 2 KM - 66 m2
256,"Penjaringan, Jakarta Utara",Rp 2.700.000.000,3 KT - 3 KM - 128 m2
257,"Penjaringan, Jakarta Utara",Rp 1.100.000.000,2 KT - 1 KM - 45 m2
258,"Tanjung Priok, Jakarta Utara",Rp 470.000.000,3 KT - 2 KM - 42 m2
259,"Penjaringan, Jakarta Utara",Rp 2.613.000.000,3 KT - 3 KM - 146 m2
260,"Kemayoran, Jakarta Pusat",Rp 500.000.000,2 KT - 1 KM - 42 m2
261,"Penjaringan, Jakarta Utara",Rp 2.200.000.000,3 KT - 3 KM - 127 m2
262,"Pademangan, Jakarta Utara",Rp 5.500.000.000,6 KT - 5 KM - 2625 m2
263,"Pademangan, Jakarta Utara",Rp 2.780.000.000,3 KT - 1 KM - 250 m2
264,"Penjaringan, Jakarta Utara",Rp 1.731.000.000,3 KT - 3 KM - 98 m2
265,"Kemayoran, Jakarta Pusat",Rp 7.500.000.000,4 KT - 3 KM - 450 m2
266,"Penjaringan, Jakarta Utara",Rp 2.300.000.000,2 KT - 2 KM - 90 m2
267,"Penjaringan, Jakarta Utara",Rp 2.036.000.000,3 KT - 3 KM - 119 m2
268,"Penjaringan, Jakarta Utara",Rp 1.679.000.000,2 KT - 2 KM - 98 m2
269,"Tanjung Priok, Jakarta Utara",Rp 304.400.000,2 KT - 1 KM - 36 m2
270,"Gambir, Jakarta Pusat",Rp 7.500.000.000,2 KT - 1 KM - 246 m2
271,"Penjaringan, Jakarta Utara",Rp 1.291.000.000,2 KT - 2 KM - 73 m2
272,"Penjaringan, Jakarta Utara",Rp 1.509.000.000,2 KT - 2 KM - 88 m2
273,"Tanjung Priok, Jakarta Utara",Rp 4.500.000.000,4 KT - 4 KM - 147 m2
274,"Penjaringan, Jakarta Utara",Rp 1.267.000.000,2 KT - 2 KM - 56 m2
275,"Sawah Besar, Jakarta Pusat",Rp 2.200.000.000,3 KT - 2 KM - 100 m2
276,"Gambir, Jakarta Pusat",Rp 600.000.000,2 KT - 2 KM - 80 m2
277,"Sawah Besar, Jakarta Pusat",Rp 2.200.000.000,4 KT - 3 KM - 225 m2
278,"Tanjung Priok, Jakarta Utara",Rp 40.000.000.000,5 KT - 4 KM - 460 m2
279,"Pademangan, Jakarta Utara",Rp 18.500.000.000,3 KT - 2 KM - 650 m2
280,"Taman Sari, Jakarta Barat",Rp 2.650.000.000,3 KT - 2 KM - 160 m2
281,"Sawah Besar, Jakarta Pusat",Rp 2.500.000.000,4 KT - 2 KM - 180 m2
282,"Kemayoran, Jakarta Pusat",Rp 980.000.000,2 KT - 1 KM - 64 m2
283,"Taman Sari, Jakarta Barat",Rp 3.200.000.000,&gt;10 KT - &gt;10 KM - 280 m2
284,"Kemayoran, Jakarta Pusat",Rp 330.000.000,2 KT - 1 KM - 2 m2
285,"Tanjung Priok, Jakarta Utara",Rp 4.800.000.000,10 KT - 5 KM - 550 m2
